gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
PGAM1,0.148741925064599,13.5528057553957,2.56525842260516,0.0106570722980503,0.0123397679240582,-5.19772214528055,NS
ALDH2,0.262009124677,13.8739016786571,2.50629236865932,0.0125785086276064,0.0143134753348624,-5.34527291322489,NS
ADH7,0.18264829618863,0.217105275779377,2.20382692096506,0.0280798239527337,0.0314113284894987,-6.04962197654838,NS
PGK1,-0.124496124031007,14.1518465227818,-1.80650239374747,0.0715573663217779,0.0787131029539557,-6.84021519861971,NS
PGK2,0.0672211644056846,0.106579616306954,1.68986065068571,0.0917985778399758,0.0993230514334164,-7.04304266041485,NS
GAPDHS,0.0834358769379846,0.239383693045564,1.43474736556156,0.152105200410104,0.161918439146239,-7.44005656374662,NS
PDHA2,0.0137434027777778,0.00949184652278177,1.07635550839318,0.28238776015517,0.295834796353035,-7.88919020706041,NS
ENO4,-0.0987843911498701,5.04106163069544,-1.06501570347218,0.287482274823001,0.29646609591122,-7.90132208529465,NS
PGM1,0.029527535529715,11.8563621103118,0.450913786841054,0.652284988388184,0.662320142055694,-8.36695579233406,NS
AKR1A1,-0.0350048449612394,12.4785371702638,-0.396519275827332,0.691923893004756,0.691923893004756,-8.39003874751711,NS
