database,direction,threshold,pathway_id,pathway_name,FDR,significant,gene_count,genes
KEGG,Up,LFC0,hsa04966,Collecting duct acid secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04970,Salivary secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04971,Gastric acid secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04972,Pancreatic secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04974,Protein digestion and absorption,1,FALSE,0,""
KEGG,Up,LFC0,hsa04975,Fat digestion and absorption,1,FALSE,0,""
KEGG,Up,LFC0,hsa04976,Bile secretion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04977,Vitamin digestion and absorption,1,FALSE,0,""
KEGG,Up,LFC0,hsa04978,Mineral absorption,1,FALSE,0,""
KEGG,Up,LFC0,hsa04979,Cholesterol metabolism,1,FALSE,0,""
KEGG,Up,LFC0,hsa04980,Cobalamin transport and metabolism,1,FALSE,0,""
KEGG,Up,LFC0,hsa04981,Folate transport and metabolism,1,FALSE,0,""
KEGG,Up,LFC0,hsa05012,Parkinson disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa05014,Amyotrophic lateral sclerosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05016,Huntington disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa05017,Spinocerebellar ataxia,1,FALSE,0,""
KEGG,Up,LFC0,hsa05020,Prion disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa05022,Pathways of neurodegeneration - multiple diseases,1,FALSE,0,""
KEGG,Up,LFC0,hsa05030,Cocaine addiction,1,FALSE,0,""
KEGG,Up,LFC0,hsa05031,Amphetamine addiction,1,FALSE,0,""
KEGG,Up,LFC0,hsa05032,Morphine addiction,1,FALSE,0,""
KEGG,Up,LFC0,hsa05033,Nicotine addiction,1,FALSE,0,""
KEGG,Up,LFC0,hsa05034,Alcoholism,1,FALSE,0,""
KEGG,Up,LFC0,hsa05100,Bacterial invasion of epithelial cells,1,FALSE,0,""
KEGG,Up,LFC0,hsa05110,Vibrio cholerae infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05133,Pertussis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05134,Legionellosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05135,Yersinia infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05140,Leishmaniasis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05142,Chagas disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa05143,African trypanosomiasis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05144,Malaria,1,FALSE,0,""
