database,direction,pathway_id,pathway_name,significant_LFC0,significant_LFC05,significant_LFC1,n_thresholds_sig
KEGG,Down,hsa04973,Carbohydrate digestion and absorption,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04974,Protein digestion and absorption,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04975,Fat digestion and absorption,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04976,Bile secretion,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04977,Vitamin digestion and absorption,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04978,Mineral absorption,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04979,Cholesterol metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04980,Cobalamin transport and metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa04981,Folate transport and metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05010,Alzheimer disease,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05012,Parkinson disease,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05014,Amyotrophic lateral sclerosis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05016,Huntington disease,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05017,Spinocerebellar ataxia,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05020,Prion disease,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05022,Pathways of neurodegeneration - multiple diseases,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05030,Cocaine addiction,FALSE,FALSE,FALSE,0
KEGG,Down,hsa05031,Amphetamine addiction,FALSE,FALSE,FALSE,0
